FICHIER :;c:\Users\lauryne.durand\Desktop\MaxpidE_H_Trapeze_I_tachy_1M.eposacq
Date :;24/03/2026
Heure :;16:42:28

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en PROFIL de POSITION avec échelon de 90.0 °.
256 mesures avec période de 8.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en PROFIL de POSITION : Echelon de 90.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 

MESURES :
Index;Temps;;Entrée Ana. 1;Courant Moteur;
;ms;;mV;mA;
         0;       0,0;;         6;       -35;
         1;       8,0;;         4;       -37;
         2;      16,0;;         4;       -40;
         3;      24,0;;         4;       -42;
         4;      32,0;;         4;       -44;
         5;      40,0;;         5;       -46;
         6;      48,0;;         5;       -48;
         7;      56,0;;         4;       -51;
         8;      64,0;;         4;       -53;
         9;      72,0;;         4;       -55;
        10;      80,0;;         4;       -58;
        11;      88,0;;         5;       -60;
        12;      96,0;;         5;       -62;
        13;     104,0;;         5;       -64;
        14;     112,0;;         5;       -67;
        15;     120,0;;         5;       -69;
        16;     128,0;;         5;       -72;
        17;     136,0;;         5;       -74;
        18;     144,0;;         4;       -76;
        19;     152,0;;         5;       -78;
        20;     160,0;;         4;       -81;
        21;     168,0;;         6;       -83;
        22;     176,0;;         4;       -85;
        23;     184,0;;         5;       -88;
        24;     192,0;;         5;       -90;
        25;     200,0;;         5;       -59;
        26;     208,0;;         5;        87;
        27;     216,0;;         5;       299;
        28;     224,0;;        12;       541;
        29;     232,0;;        26;       822;
        30;     240,0;;        40;      1131;
        31;     248,0;;        65;      1252;
        32;     256,0;;        90;      1357;
        33;     264,0;;       123;      1576;
        34;     272,0;;       158;      1753;
        35;     280,0;;       183;      1747;
        36;     288,0;;       221;      1833;
        37;     296,0;;       258;      1971;
        38;     304,0;;       296;      2092;
        39;     312,0;;       329;      2225;
        40;     320,0;;       354;      2213;
        41;     328,0;;       396;      2197;
        42;     336,0;;       439;      2298;
        43;     344,0;;       467;      2394;
        44;     352,0;;       496;      2421;
        45;     360,0;;       557;      2427;
        46;     368,0;;       584;      2587;
        47;     376,0;;       631;      2488;
        48;     384,0;;       669;      2519;
        49;     392,0;;       686;      2533;
        50;     400,0;;       732;      2510;
        51;     408,0;;       779;      2670;
        52;     416,0;;       791;      2731;
        53;     424,0;;       851;      2641;
        54;     432,0;;       885;      2797;
        55;     440,0;;       914;      2878;
        56;     448,0;;       950;      2771;
        57;     456,0;;      1027;      2864;
        58;     464,0;;      1034;      3056;
        59;     472,0;;      1088;      2914;
        60;     480,0;;      1139;      2996;
        61;     488,0;;      1184;      2954;
        62;     496,0;;      1207;      2867;
        63;     504,0;;      1229;      2695;
        64;     512,0;;      1239;      2619;
        65;     520,0;;      1274;      2553;
        66;     528,0;;      1284;      2503;
        67;     536,0;;      1289;      2378;
        68;     544,0;;      1313;      2330;
        69;     552,0;;      1317;      2327;
        70;     560,0;;      1332;      2402;
        71;     568,0;;      1332;      2398;
        72;     576,0;;      1325;      2274;
        73;     584,0;;      1346;      2278;
        74;     592,0;;      1332;      2370;
        75;     600,0;;      1348;      2323;
        76;     608,0;;      1348;      2324;
        77;     616,0;;      1349;      2386;
        78;     624,0;;      1362;      2367;
        79;     632,0;;      1365;      2373;
        80;     640,0;;      1351;      2355;
        81;     648,0;;      1381;      2377;
        82;     656,0;;      1392;      2427;
        83;     664,0;;      1395;      2468;
        84;     672,0;;      1382;      2440;
        85;     680,0;;      1407;      2595;
        86;     688,0;;      1425;      2554;
        87;     696,0;;      1451;      2520;
        88;     704,0;;      1450;      2703;
        89;     712,0;;      1452;      2581;
        90;     720,0;;      1489;      2671;
        91;     728,0;;      1487;      2819;
        92;     736,0;;      1487;      2591;
        93;     744,0;;      1473;      2830;
        94;     752,0;;      1517;      2754;
        95;     760,0;;      1551;      2608;
        96;     768,0;;      1545;      2846;
        97;     776,0;;      1538;      2719;
        98;     784,0;;      1593;      2782;
        99;     792,0;;      1591;      2927;
       100;     800,0;;      1597;      2626;
       101;     808,0;;      1593;      2742;
       102;     816,0;;      1627;      2921;
       103;     824,0;;      1593;      2558;
       104;     832,0;;      1646;      2780;
       105;     840,0;;      1588;      2507;
       106;     848,0;;      1605;      2129;
       107;     856,0;;      1563;      2324;
       108;     864,0;;      1546;      1816;
       109;     872,0;;      1510;      1893;
       110;     880,0;;      1440;      1801;
       111;     888,0;;      1422;      1539;
       112;     896,0;;      1365;      1722;
       113;     904,0;;      1282;      1256;
       114;     912,0;;      1238;      1245;
       115;     920,0;;      1182;      1314;
       116;     928,0;;      1122;       888;
       117;     936,0;;      1025;      1051;
       118;     944,0;;       998;       964;
       119;     952,0;;       934;       904;
       120;     960,0;;       865;       841;
       121;     968,0;;       807;       778;
       122;     976,0;;       749;       811;
       123;     984,0;;       693;       645;
       124;     992,0;;       636;       665;
       125;    1000,0;;       592;       550;
       126;    1008,0;;       529;       509;
       127;    1016,0;;       468;       510;
       128;    1024,0;;       426;       493;
       129;    1032,0;;       376;       406;
       130;    1040,0;;       323;       345;
       131;    1048,0;;       284;       293;
       132;    1056,0;;       251;       264;
       133;    1064,0;;       209;       113;
       134;    1072,0;;       171;        44;
       135;    1080,0;;       127;       -56;
       136;    1088,0;;        85;      -196;
       137;    1096,0;;        42;      -285;
       138;    1104,0;;         8;      -268;
       139;    1112,0;;         2;      -319;
       140;    1120,0;;         3;      -383;
       141;    1128,0;;         2;      -449;
       142;    1136,0;;         2;      -519;
       143;    1144,0;;         2;      -582;
       144;    1152,0;;         1;      -651;
       145;    1160,0;;         1;      -714;
       146;    1168,0;;         1;      -783;
       147;    1176,0;;         1;      -758;
       148;    1184,0;;         1;      -583;
       149;    1192,0;;         1;      -480;
       150;    1200,0;;         2;      -552;
       151;    1208,0;;         2;      -612;
       152;    1216,0;;         1;      -651;
       153;    1224,0;;         2;      -519;
       154;    1232,0;;         2;      -572;
       155;    1240,0;;         3;      -597;
       156;    1248,0;;         2;      -607;
       157;    1256,0;;         1;      -607;
       158;    1264,0;;         2;      -607;
       159;    1272,0;;         2;      -593;
       160;    1280,0;;         1;      -566;
       161;    1288,0;;         1;      -611;
       162;    1296,0;;         1;      -562;
       163;    1304,0;;         2;      -523;
       164;    1312,0;;         2;      -489;
       165;    1320,0;;         2;      -575;
       166;    1328,0;;         2;      -599;
       167;    1336,0;;         2;      -695;
       168;    1344,0;;         2;      -642;
       169;    1352,0;;         3;      -618;
       170;    1360,0;;         2;      -706;
       171;    1368,0;;         2;      -731;
       172;    1376,0;;         3;      -571;
       173;    1384,0;;         2;      -688;
       174;    1392,0;;         2;      -729;
       175;    1400,0;;         2;      -586;
       176;    1408,0;;         2;      -688;
       177;    1416,0;;         2;      -560;
       178;    1424,0;;         2;      -648;
       179;    1432,0;;         2;      -548;
       180;    1440,0;;         3;      -643;
       181;    1448,0;;         1;      -487;
       182;    1456,0;;         2;      -420;
       183;    1464,0;;         3;      -556;
       184;    1472,0;;         2;      -403;
       185;    1480,0;;         2;      -490;
       186;    1488,0;;         2;      -387;
       187;    1496,0;;         2;      -434;
       188;    1504,0;;         2;      -491;
       189;    1512,0;;         2;      -498;
       190;    1520,0;;         2;      -496;
       191;    1528,0;;         3;      -493;
       192;    1536,0;;         2;      -491;
       193;    1544,0;;         2;      -405;
       194;    1552,0;;         4;      -358;
       195;    1560,0;;         3;      -423;
       196;    1568,0;;         3;      -432;
       197;    1576,0;;         3;      -429;
       198;    1584,0;;         4;      -424;
       199;    1592,0;;         4;      -420;
       200;    1600,0;;         3;      -415;
       201;    1608,0;;         4;      -410;
       202;    1616,0;;         3;      -406;
       203;    1624,0;;         3;      -401;
       204;    1632,0;;         3;      -397;
       205;    1640,0;;         5;      -392;
       206;    1648,0;;         5;      -387;
       207;    1656,0;;         3;      -383;
       208;    1664,0;;         5;      -378;
       209;    1672,0;;         5;      -374;
       210;    1680,0;;         5;      -369;
       211;    1688,0;;         5;      -365;
       212;    1696,0;;         4;      -360;
       213;    1704,0;;         5;      -356;
       214;    1712,0;;         5;      -351;
       215;    1720,0;;         5;      -346;
       216;    1728,0;;         5;      -342;
       217;    1736,0;;         5;      -337;
       218;    1744,0;;         5;      -332;
       219;    1752,0;;         6;      -328;
       220;    1760,0;;         5;      -323;
       221;    1768,0;;         5;      -319;
       222;    1776,0;;         5;      -314;
       223;    1784,0;;         6;      -310;
       224;    1792,0;;         4;      -305;
       225;    1800,0;;         4;      -301;
       226;    1808,0;;         4;      -296;
       227;    1816,0;;         5;      -291;
       228;    1824,0;;         5;      -287;
       229;    1832,0;;         4;      -282;
       230;    1840,0;;         5;      -278;
       231;    1848,0;;         5;      -273;
       232;    1856,0;;         5;      -269;
       233;    1864,0;;         5;      -264;
       234;    1872,0;;         4;      -259;
       235;    1880,0;;         5;      -255;
       236;    1888,0;;         4;      -250;
       237;    1896,0;;         4;      -245;
       238;    1904,0;;         5;      -241;
       239;    1912,0;;         4;      -237;
       240;    1920,0;;         4;      -231;
       241;    1928,0;;         5;      -227;
       242;    1936,0;;         4;      -222;
       243;    1944,0;;         5;      -218;
       244;    1952,0;;         5;      -214;
       245;    1960,0;;         4;      -209;
       246;    1968,0;;         5;      -204;
       247;    1976,0;;         5;      -200;
       248;    1984,0;;         6;      -195;
       249;    1992,0;;         5;      -190;
       250;    2000,0;;         5;      -186;
       251;    2008,0;;         4;      -182;
       252;    2016,0;;         5;      -177;
       253;    2024,0;;         3;      -172;
       254;    2032,0;;         5;      -168;
       255;    2040,0;;         4;      -163;

Paramčtre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;32700;0;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

