FICHIER :;c:\Users\lauryne.durand\Desktop\MaxpidE_V_Trapeze_I_tachy_1M.eposacq
Date :;24/03/2026
Heure :;16:41:50

DESCRIPTION :
ACQUISITION AXE 1 : MAXPID-E
SOLLICITATION en PROFIL de POSITION avec échelon de 90.0 °.
256 mesures avec période de 8.0 ms


COMMENTAIRE :
MAXPID : Plan Vertical avec 0 Masses (0 gr)
 Sollicitation en PROFIL de POSITION : Echelon de 90.0 °
 PID Position : KP = 5600 | KI = 4800 | KD = 25000
 

MESURES :
Index;Temps;;Entrée Ana. 1;Courant Moteur;
;ms;;mV;mA;
         0;       0,0;;         3;      1087;
         1;       8,0;;         5;      1084;
         2;      16,0;;         4;      1081;
         3;      24,0;;         2;      1076;
         4;      32,0;;         4;      1075;
         5;      40,0;;         5;      1074;
         6;      48,0;;         6;      1071;
         7;      56,0;;         5;      1066;
         8;      64,0;;         3;      1065;
         9;      72,0;;         5;      1064;
        10;      80,0;;         4;      1062;
        11;      88,0;;         4;      1060;
        12;      96,0;;         3;      1057;
        13;     104,0;;         5;      1055;
        14;     112,0;;         4;      1050;
        15;     120,0;;         4;      1049;
        16;     128,0;;         5;      1050;
        17;     136,0;;         5;      1046;
        18;     144,0;;         4;      1046;
        19;     152,0;;         5;      1040;
        20;     160,0;;         5;      1039;
        21;     168,0;;         4;      1037;
        22;     176,0;;         4;      1035;
        23;     184,0;;         4;      1034;
        24;     192,0;;         5;      1028;
        25;     200,0;;         3;      1056;
        26;     208,0;;         4;      1201;
        27;     216,0;;         4;      1406;
        28;     224,0;;         7;      1638;
        29;     232,0;;        12;      1921;
        30;     240,0;;        21;      2239;
        31;     248,0;;        35;      2594;
        32;     256,0;;        59;      2702;
        33;     264,0;;        90;      3001;
        34;     272,0;;       127;      3163;
        35;     280,0;;       157;      3271;
        36;     288,0;;       201;      3428;
        37;     296,0;;       228;      3446;
        38;     304,0;;       279;      3691;
        39;     312,0;;       313;      3747;
        40;     320,0;;       354;      3791;
        41;     328,0;;       405;      3800;
        42;     336,0;;       423;      3880;
        43;     344,0;;       494;      3851;
        44;     352,0;;       517;      3845;
        45;     360,0;;       561;      4012;
        46;     368,0;;       589;      3944;
        47;     376,0;;       634;      3898;
        48;     384,0;;       681;      3890;
        49;     392,0;;       704;      3886;
        50;     400,0;;       757;      3995;
        51;     408,0;;       769;      4081;
        52;     416,0;;       832;      4081;
        53;     424,0;;       866;      4128;
        54;     432,0;;       912;      4052;
        55;     440,0;;       943;      4074;
        56;     448,0;;       978;      4187;
        57;     456,0;;      1038;      4232;
        58;     464,0;;      1060;      4158;
        59;     472,0;;      1110;      4147;
        60;     480,0;;      1149;      4215;
        61;     488,0;;      1192;      4158;
        62;     496,0;;      1211;      3890;
        63;     504,0;;      1251;      3798;
        64;     512,0;;      1298;      3808;
        65;     520,0;;      1262;      3574;
        66;     528,0;;      1336;      3528;
        67;     536,0;;      1297;      3397;
        68;     544,0;;      1332;      3365;
        69;     552,0;;      1333;      3325;
        70;     560,0;;      1352;      3320;
        71;     568,0;;      1343;      3178;
        72;     576,0;;      1341;      3171;
        73;     584,0;;      1358;      3166;
        74;     592,0;;      1351;      3071;
        75;     600,0;;      1344;      3130;
        76;     608,0;;      1368;      3119;
        77;     616,0;;      1363;      3064;
        78;     624,0;;      1358;      3102;
        79;     632,0;;      1380;      3143;
        80;     640,0;;      1382;      2992;
        81;     648,0;;      1398;      3082;
        82;     656,0;;      1374;      3089;
        83;     664,0;;      1401;      3048;
        84;     672,0;;      1431;      3116;
        85;     680,0;;      1440;      3058;
        86;     688,0;;      1442;      3016;
        87;     696,0;;      1466;      3139;
        88;     704,0;;      1469;      3075;
        89;     712,0;;      1485;      2923;
        90;     720,0;;      1477;      3150;
        91;     728,0;;      1498;      3027;
        92;     736,0;;      1519;      3097;
        93;     744,0;;      1482;      3206;
        94;     752,0;;      1514;      2953;
        95;     760,0;;      1566;      3054;
        96;     768,0;;      1549;      3023;
        97;     776,0;;      1549;      2816;
        98;     784,0;;      1580;      3078;
        99;     792,0;;      1558;      3026;
       100;     800,0;;      1602;      2765;
       101;     808,0;;      1603;      3154;
       102;     816,0;;      1592;      2900;
       103;     824,0;;      1613;      2711;
       104;     832,0;;      1638;      2924;
       105;     840,0;;      1588;      2592;
       106;     848,0;;      1591;      2235;
       107;     856,0;;      1562;      2243;
       108;     864,0;;      1538;      2118;
       109;     872,0;;      1507;      1916;
       110;     880,0;;      1456;      1643;
       111;     888,0;;      1400;      1542;
       112;     896,0;;      1340;      1456;
       113;     904,0;;      1304;      1320;
       114;     912,0;;      1204;      1106;
       115;     920,0;;      1156;      1052;
       116;     928,0;;      1074;       919;
       117;     936,0;;      1053;      1039;
       118;     944,0;;       959;       846;
       119;     952,0;;       916;       677;
       120;     960,0;;       852;       785;
       121;     968,0;;       786;       769;
       122;     976,0;;       732;       570;
       123;     984,0;;       660;       502;
       124;     992,0;;       624;       545;
       125;    1000,0;;       571;       562;
       126;    1008,0;;       511;       376;
       127;    1016,0;;       459;       367;
       128;    1024,0;;       417;       330;
       129;    1032,0;;       370;       269;
       130;    1040,0;;       320;       232;
       131;    1048,0;;       272;       135;
       132;    1056,0;;       233;       110;
       133;    1064,0;;       187;       -46;
       134;    1072,0;;       144;       -92;
       135;    1080,0;;       106;      -168;
       136;    1088,0;;        65;      -261;
       137;    1096,0;;        25;      -394;
       138;    1104,0;;         2;      -419;
       139;    1112,0;;         2;      -488;
       140;    1120,0;;         2;      -561;
       141;    1128,0;;         1;      -635;
       142;    1136,0;;         2;      -708;
       143;    1144,0;;         1;      -780;
       144;    1152,0;;         2;      -857;
       145;    1160,0;;         1;      -564;
       146;    1168,0;;         1;      -585;
       147;    1176,0;;         1;      -541;
       148;    1184,0;;         2;      -500;
       149;    1192,0;;         2;      -558;
       150;    1200,0;;         2;      -512;
       151;    1208,0;;         1;      -577;
       152;    1216,0;;         1;      -472;
       153;    1224,0;;         2;      -520;
       154;    1232,0;;         1;      -424;
       155;    1240,0;;         1;      -487;
       156;    1248,0;;         1;      -476;
       157;    1256,0;;         2;      -499;
       158;    1264,0;;         2;      -457;
       159;    1272,0;;         1;      -461;
       160;    1280,0;;         2;      -447;
       161;    1288,0;;         1;      -415;
       162;    1296,0;;         2;      -402;
       163;    1304,0;;         1;      -367;
       164;    1312,0;;         1;      -422;
       165;    1320,0;;         1;      -484;
       166;    1328,0;;         3;      -414;
       167;    1336,0;;         1;      -333;
       168;    1344,0;;         3;      -412;
       169;    1352,0;;         2;      -377;
       170;    1360,0;;         2;      -470;
       171;    1368,0;;         3;      -336;
       172;    1376,0;;         2;      -432;
       173;    1384,0;;         2;      -412;
       174;    1392,0;;         2;      -324;
       175;    1400,0;;         2;      -358;
       176;    1408,0;;         2;      -283;
       177;    1416,0;;         2;      -361;
       178;    1424,0;;         2;      -375;
       179;    1432,0;;         3;      -184;
       180;    1440,0;;         3;      -291;
       181;    1448,0;;         3;      -325;
       182;    1456,0;;         2;      -327;
       183;    1464,0;;         2;      -325;
       184;    1472,0;;         2;      -323;
       185;    1480,0;;         2;      -321;
       186;    1488,0;;         2;      -146;
       187;    1496,0;;         3;      -208;
       188;    1504,0;;         3;      -256;
       189;    1512,0;;         3;      -261;
       190;    1520,0;;         3;      -258;
       191;    1528,0;;         3;      -253;
       192;    1536,0;;         5;      -248;
       193;    1544,0;;         5;      -244;
       194;    1552,0;;         4;      -239;
       195;    1560,0;;         5;      -234;
       196;    1568,0;;         4;      -230;
       197;    1576,0;;         4;      -225;
       198;    1584,0;;         4;      -221;
       199;    1592,0;;         5;      -216;
       200;    1600,0;;         5;      -211;
       201;    1608,0;;         4;      -207;
       202;    1616,0;;         5;      -202;
       203;    1624,0;;         4;      -198;
       204;    1632,0;;         5;      -193;
       205;    1640,0;;         3;      -188;
       206;    1648,0;;         3;      -184;
       207;    1656,0;;         5;      -179;
       208;    1664,0;;         3;      -175;
       209;    1672,0;;         4;      -170;
       210;    1680,0;;         3;      -166;
       211;    1688,0;;         6;      -161;
       212;    1696,0;;         4;      -156;
       213;    1704,0;;         5;      -152;
       214;    1712,0;;         4;      -147;
       215;    1720,0;;         4;      -143;
       216;    1728,0;;         5;      -138;
       217;    1736,0;;         4;      -134;
       218;    1744,0;;         4;      -129;
       219;    1752,0;;         4;      -125;
       220;    1760,0;;         4;      -120;
       221;    1768,0;;         6;      -115;
       222;    1776,0;;         5;      -111;
       223;    1784,0;;         5;      -106;
       224;    1792,0;;         5;      -102;
       225;    1800,0;;         5;       -97;
       226;    1808,0;;         5;       -92;
       227;    1816,0;;         4;       -88;
       228;    1824,0;;         6;       -83;
       229;    1832,0;;         4;       -79;
       230;    1840,0;;         4;       -74;
       231;    1848,0;;         5;       -70;
       232;    1856,0;;         5;       -65;
       233;    1864,0;;         5;       -60;
       234;    1872,0;;         5;       -56;
       235;    1880,0;;         3;       -51;
       236;    1888,0;;         5;       -47;
       237;    1896,0;;         4;       -42;
       238;    1904,0;;         4;       -38;
       239;    1912,0;;         4;       -33;
       240;    1920,0;;         5;       -28;
       241;    1928,0;;         5;       -24;
       242;    1936,0;;         4;       -19;
       243;    1944,0;;         5;       -14;
       244;    1952,0;;         4;       -10;
       245;    1960,0;;         4;        -5;
       246;    1968,0;;         5;        -2;
       247;    1976,0;;         6;         3;
       248;    1984,0;;         5;         5;
       249;    1992,0;;         5;        13;
       250;    2000,0;;         6;        17;
       251;    2008,0;;         4;        22;
       252;    2016,0;;         5;        27;
       253;    2024,0;;         5;        31;
       254;    2032,0;;         4;        35;
       255;    2040,0;;         4;        41;

Paramčtre AXE :;MAXPID-E
PID AXE :;KP;KI;KD;KV;KA
Position :;5600;4800;25000;0;0
Vitesse :;32700;0;;0;0
Courant :;800;200
Sécurité
Acc. max.:;2147483647;rpm/s
Vit. max.:;68;rpm

