FICHIER :;c:\Users\pt_ptsi\Documents\XP\Essai_Echelon_Pos_50mm.eposacq
Date :;02/04/2026
Heure :;11:30:52

DESCRIPTION :
ACQUISITION AXE 1 : Axe linÈaire
SOLLICITATION en POSITION avec Èchelon de 50.0 mm.
85 mesures avec pÈriode de 23.0 ms


COMMENTAIRE :
CPM-130 :
 Sollicitation en POSITION : Echelon de 50.0 mm
 PID Position : KP = 130 | KI = 500 | KD = 180
 

MESURES :
Index;Temps;;Consigne de Position;Position Axe;Consigne de Courant;Courant Moteur;
;ms;;qc;qc;mA;mA;
         0;       0,0;;   2440827;   2440827;        36;        36;
         1;      23,0;;   2440827;   2440827;        36;        36;
         2;      46,0;;   2440827;   2440827;        36;        36;
         3;      69,0;;   2440827;   2440827;        36;        36;
         4;      92,0;;   2440827;   2440827;        36;        36;
         5;     115,0;;   2440827;   2440827;        36;        36;
         6;     138,0;;   2440827;   2440827;        36;        37;
         7;     161,0;;   2440827;   2440827;        36;        36;
         8;     184,0;;   2441544;   2440827;      1200;        98;
         9;     207,0;;   2450180;   2442402;      1200;      1183;
        10;     230,0;;   2458815;   2446823;      1200;       980;
        11;     253,0;;   2467451;   2452849;      1200;       237;
        12;     276,0;;   2476087;   2458990;      1200;       201;
        13;     299,0;;   2484722;   2465127;      1200;       192;
        14;     322,0;;   2493358;   2471270;      1200;       192;
        15;     345,0;;   2501994;   2477393;      1200;       223;
        16;     368,0;;   2510630;   2483526;      1200;       187;
        17;     391,0;;   2519265;   2489665;      1200;       175;
        18;     414,0;;   2527901;   2495790;      1200;       188;
        19;     437,0;;   2536537;   2501909;      1200;       201;
        20;     460,0;;   2545173;   2508017;      1200;       217;
        21;     483,0;;   2553808;   2514126;      1200;       195;
        22;     506,0;;   2562444;   2520250;      1200;       197;
        23;     529,0;;   2571080;   2526382;      1200;       194;
        24;     552,0;;   2579716;   2532515;      1200;       196;
        25;     575,0;;   2588351;   2538628;      1200;       214;
        26;     598,0;;   2596987;   2544728;      1200;       216;
        27;     621,0;;   2605623;   2550846;      1200;       192;
        28;     644,0;;   2614258;   2556969;      1200;       204;
        29;     667,0;;   2622894;   2563095;      1200;       201;
        30;     690,0;;   2631530;   2569220;      1200;       214;
        31;     713,0;;   2640166;   2575331;      1200;       217;
        32;     736,0;;   2648801;   2581469;      1200;       190;
        33;     759,0;;   2657437;   2587603;      1200;       210;
        34;     782,0;;   2666073;   2593726;      1200;       211;
        35;     805,0;;   2674709;   2599840;      1200;       217;
        36;     828,0;;   2683344;   2605944;      1200;       241;
        37;     851,0;;   2691980;   2612064;      1200;       204;
        38;     874,0;;   2700616;   2618196;      1200;       206;
        39;     897,0;;   2709252;   2624324;      1200;       210;
        40;     920,0;;   2717887;   2630446;      1200;       241;
        41;     943,0;;   2726523;   2636544;      1200;       251;
        42;     966,0;;   2735159;   2642647;      1200;       219;
        43;     989,0;;   2743794;   2648763;      1200;       223;
        44;    1012,0;;   2752430;   2654890;      1200;       196;
        45;    1035,0;;   2759941;   2661023;      1200;       215;
        46;    1058,0;;   2759941;   2667135;      1200;       223;
        47;    1081,0;;   2759941;   2673240;      1200;       193;
        48;    1104,0;;   2759941;   2679361;      1200;       197;
        49;    1127,0;;   2759941;   2685479;      1200;       211;
        50;    1150,0;;   2759941;   2691601;      1200;       202;
        51;    1173,0;;   2759941;   2697709;      1200;       217;
        52;    1196,0;;   2759941;   2703811;      1200;       193;
        53;    1219,0;;   2759941;   2709936;      1200;       193;
        54;    1242,0;;   2759941;   2716068;      1200;       201;
        55;    1265,0;;   2759941;   2722190;      1200;       200;
        56;    1288,0;;   2759941;   2728302;      1200;       211;
        57;    1311,0;;   2759941;   2734392;      1200;       229;
        58;    1334,0;;   2759941;   2740507;      1200;       197;
        59;    1357,0;;   2759941;   2746628;      1200;       196;
        60;    1380,0;;   2759941;   2752752;      1200;       193;
        61;    1403,0;;   2759941;   2758784;     -1200;      -885;
        62;    1426,0;;   2759941;   2762076;     -1200;     -1186;
        63;    1449,0;;   2759941;   2761607;     -1200;     -1187;
        64;    1472,0;;   2759941;   2759695;       991;      1152;
        65;    1495,0;;   2759941;   2759752;        78;        94;
        66;    1518,0;;   2759941;   2759867;        58;        63;
        67;    1541,0;;   2759941;   2759918;        56;        76;
        68;    1564,0;;   2759941;   2759935;        76;        91;
        69;    1587,0;;   2759941;   2759939;       100;        95;
        70;    1610,0;;   2759941;   2759941;        96;        95;
        71;    1633,0;;   2759941;   2759942;        91;        91;
        72;    1656,0;;   2759941;   2759942;        88;        88;
        73;    1679,0;;   2759941;   2759942;        85;        86;
        74;    1702,0;;   2759941;   2759942;        83;        83;
        75;    1725,0;;   2759941;   2759942;        80;        80;
        76;    1748,0;;   2759941;   2759942;        77;        77;
        77;    1771,0;;   2759941;   2759942;        74;        75;
        78;    1794,0;;   2759941;   2759942;        72;        72;
        79;    1817,0;;   2759941;   2759942;        69;        69;
        80;    1840,0;;   2759941;   2759942;        66;        66;
        81;    1863,0;;   2759941;   2759942;        63;        64;
        82;    1886,0;;   2759941;   2759942;        61;        61;
        83;    1909,0;;   2759941;   2759942;        58;        58;
        84;    1932,0;;   2759941;   2759942;        55;        55;

ParamËtre AXE :;Axe linÈaire
PID AXE :;KP;KI;KD;KV;KA
Position :;130;500;180;0;0
Vitesse :;470;90;;0;0
Courant :;1000;1000
SÈcuritÈ
Acc. max.:;10000000;rpm/s
Vit. max.:;11000;rpm

